순번,번호1,번호2,번호3,번호4,번호5,번호6,점수,합계,전략
1,1,11,16,19,26,28,108,101,전략4
2,2,11,22,26,33,35,104,129,전략4
3,1,2,13,22,33,35,104,106,전략4
4,1,11,16,22,26,43,103,119,전략3
5,11,19,20,26,29,42,103,147,전략4
6,1,5,11,16,26,37,102,96,전략3
7,1,5,16,19,40,42,102,123,전략4
8,1,5,6,22,33,35,102,102,전략4
9,1,2,22,26,28,33,102,112,전략4
10,1,19,22,33,35,42,102,152,전략4
11,1,11,16,21,26,42,101,117,전략3
12,1,2,19,22,26,42,101,112,전략4
13,1,11,19,26,33,40,101,130,전략4
14,1,11,22,26,28,30,100,118,전략4
15,1,5,11,16,22,42,100,97,전략3
16,1,11,26,28,37,42,100,145,전략4
17,1,4,16,19,22,35,100,97,전략4
18,5,11,16,21,22,26,99,101,전략3
19,1,16,18,26,28,37,99,126,전략3
20,5,11,18,26,37,40,99,137,전략4
21,1,4,16,19,29,42,99,111,전략4
22,1,2,16,22,35,38,99,114,전략4
23,3,11,18,19,26,40,99,117,전략4
24,1,2,16,33,35,43,99,130,전략4
25,1,11,22,35,38,43,99,150,전략4
26,1,5,19,26,28,40,99,119,전략4
27,1,2,11,19,22,40,98,95,전략4
28,1,16,19,22,38,42,98,138,전략3
29,4,11,22,26,28,37,98,128,전략3
30,1,11,22,26,33,37,98,130,전략3
31,11,22,26,28,38,43,98,168,전략3
32,1,11,16,26,33,38,98,125,전략3
33,11,18,19,22,26,28,98,124,전략3
34,1,16,18,19,22,26,98,102,전략3
35,5,19,20,26,28,29,98,127,전략4
36,5,11,12,19,26,28,98,101,전략4
37,1,5,16,33,35,42,98,132,전략4
38,1,7,11,26,28,43,98,116,전략4
39,1,11,16,18,33,37,98,116,전략4
40,1,11,18,21,26,37,98,114,전략4
41,4,11,16,19,22,28,98,100,전략4
42,1,11,13,26,28,35,98,114,전략4
43,4,5,21,22,26,28,98,106,전략4
44,11,19,26,28,32,43,98,159,전략4
45,2,5,22,26,28,35,98,118,전략4
46,1,16,21,22,35,37,98,132,전략4
47,1,6,16,19,22,40,98,104,전략4
48,1,2,26,33,35,42,98,139,전략4
49,2,5,19,21,22,26,98,95,전략4
50,1,2,16,22,26,39,98,106,전략4
51,2,6,19,22,33,35,98,117,전략4
52,2,11,16,19,26,33,98,107,전략4
53,3,11,16,22,26,28,98,106,전략4
54,1,5,11,19,28,42,97,106,전략3
55,1,7,11,19,26,42,97,106,전략3
56,11,16,26,28,37,43,97,161,전략3
57,1,5,11,22,26,40,97,105,전략3
58,1,5,19,22,42,43,97,132,전략3
59,1,11,16,19,39,42,97,128,전략3
60,4,11,19,22,26,42,97,124,전략3
61,1,5,13,16,21,42,97,98,전략3
62,2,11,22,25,26,28,97,114,전략3
63,2,11,22,26,37,43,97,141,전략3
64,1,11,13,19,22,42,97,108,전략3
65,1,5,16,20,22,33,97,97,전략3
66,5,16,19,21,42,43,97,146,전략3
67,5,11,21,26,28,37,97,128,전략3
68,1,2,13,19,35,42,97,112,전략4
69,5,11,22,26,28,31,97,123,전략4
70,1,2,11,16,33,42,97,105,전략4
71,4,19,21,22,29,42,97,137,전략4
72,1,11,21,26,28,32,97,119,전략4
73,2,5,16,22,33,35,97,113,전략4
74,1,19,22,26,28,32,97,128,전략4
75,1,2,12,22,26,35,97,98,전략4
76,1,11,18,22,33,35,97,120,전략4
77,1,13,16,26,33,35,97,124,전략4
78,1,16,26,29,33,42,97,147,전략4
79,1,22,26,28,42,43,97,162,전략4
80,1,2,22,35,37,43,97,140,전략4
81,1,22,26,33,35,38,97,155,전략4
82,11,16,18,26,37,38,97,146,전략4
83,2,18,19,22,26,37,97,124,전략4
84,1,5,16,25,26,28,97,101,전략4
85,11,19,26,28,33,37,97,154,전략4
86,1,6,11,22,33,42,96,115,전략4
87,1,11,16,19,22,37,96,106,전략1
88,1,19,21,28,40,42,96,151,전략4
89,1,13,16,19,20,42,96,111,전략3
90,1,11,16,20,26,31,96,105,전략3
91,5,19,20,21,26,42,96,133,전략3
92,1,16,22,26,37,42,96,144,전략3
93,5,11,18,19,21,26,96,100,전략3
94,1,5,16,26,42,43,96,133,전략3
95,1,16,21,22,33,42,96,135,전략3
96,1,5,19,22,26,33,96,106,전략3
97,1,11,16,28,38,43,96,137,전략3
98,11,21,22,26,28,35,96,143,전략4
99,2,11,13,26,35,42,96,129,전략4
100,11,19,26,28,30,40,96,154,전략4
101,2,13,19,26,28,42,96,130,전략4
102,1,4,26,28,29,42,96,130,전략4
103,1,2,11,13,26,43,96,96,전략4
104,11,16,18,19,37,42,96,143,전략4
105,1,11,16,29,30,33,96,120,전략4
106,1,6,13,33,35,42,96,130,전략4
107,1,16,20,21,29,42,96,129,전략4
108,1,15,16,19,40,42,96,133,전략4
109,6,11,18,26,28,37,96,126,전략4
110,1,4,11,26,28,40,96,110,전략4
111,1,5,18,26,33,37,96,120,전략4
112,1,3,19,22,35,42,96,122,전략4
113,1,5,16,18,26,34,96,100,전략4
114,4,19,22,28,29,37,96,139,전략4
115,4,19,28,29,33,42,96,155,전략4
116,1,13,22,35,42,43,96,156,전략4
117,1,2,19,26,42,43,96,133,전략4
118,11,13,16,22,26,35,96,123,전략4
119,19,22,26,28,37,40,96,172,전략4
120,1,16,26,28,30,33,96,134,전략4
121,1,11,26,28,41,42,96,149,전략4
122,6,11,19,26,40,42,96,144,전략4
123,1,5,11,19,30,40,95,106,전략4
124,1,16,19,26,28,39,95,129,전략3
125,2,11,19,21,22,42,95,117,전략3
126,1,16,19,28,40,43,95,147,전략3
127,1,5,16,21,22,40,95,105,전략3
128,2,19,22,26,28,33,95,130,전략3
129,11,19,26,28,39,42,95,165,전략3
130,1,19,21,22,25,42,95,130,전략3
131,1,5,16,22,26,41,95,111,전략3
132,1,5,12,19,21,42,95,100,전략3
133,1,5,16,19,37,38,95,116,전략3
134,1,5,11,13,26,42,95,98,전략3
135,5,16,19,22,26,43,95,131,전략3
136,1,5,11,19,22,38,95,96,전략3
137,16,18,19,26,37,40,95,156,전략3
138,1,6,11,22,26,43,95,109,전략3
139,1,11,15,16,26,42,95,111,전략3
140,2,5,21,26,28,42,95,124,전략4
141,1,2,16,19,28,35,95,101,전략4
142,2,11,21,22,26,34,95,116,전략4
143,1,2,13,28,33,35,95,112,전략4
144,1,2,4,22,26,43,95,98,전략4
145,1,2,16,26,28,41,95,114,전략4
146,1,2,13,22,35,40,95,113,전략4
147,1,19,22,28,33,40,95,143,전략4
148,1,4,11,22,29,42,95,109,전략4
149,1,4,22,28,35,37,95,127,전략4
150,1,18,19,22,33,37,95,130,전략4
151,1,2,13,22,26,37,95,101,전략4
152,2,13,19,22,37,42,95,135,전략4
153,1,11,26,28,30,38,95,134,전략4
154,1,2,22,26,31,33,95,115,전략4
155,5,6,19,22,33,35,95,120,전략4
156,1,11,18,26,28,31,95,115,전략4
157,11,19,20,26,29,38,95,143,전략4
158,1,6,16,19,37,40,95,119,전략4
159,1,2,16,33,35,41,95,128,전략4
160,1,5,16,20,29,37,95,108,전략4
161,11,16,25,26,28,43,95,149,전략4
162,5,19,22,26,28,38,95,138,전략4
163,18,19,26,28,37,43,95,171,전략4
164,1,20,22,26,29,33,95,131,전략4
165,1,15,16,26,28,37,95,123,전략4
166,11,19,20,22,29,30,95,131,전략4
167,5,16,19,21,40,43,95,144,전략4
168,2,5,11,13,22,42,95,95,전략4
169,1,11,20,26,29,30,95,117,전략4
170,1,11,19,24,33,40,95,128,전략4
171,1,2,22,28,33,43,95,129,전략4
172,11,26,28,29,33,43,95,170,전략4
173,2,10,11,22,26,43,95,114,전략4
174,1,16,18,21,22,37,95,115,전략4
175,1,11,18,22,37,40,95,129,전략4
176,1,19,22,26,35,41,95,144,전략4
177,1,2,13,16,35,43,95,110,전략4
178,1,2,16,33,37,43,95,132,전략4
179,11,18,26,34,37,43,95,169,전략4
180,11,19,21,26,37,40,95,154,전략4
181,4,5,11,26,28,38,95,112,전략4
182,1,5,21,26,28,37,94,118,전략3
183,5,11,16,21,26,28,94,107,전략1
184,1,2,16,26,37,38,94,120,전략4
185,5,19,26,28,37,42,94,157,전략3
186,5,11,16,22,24,26,94,104,전략3
187,2,11,16,22,26,33,94,110,전략1
188,1,12,19,22,40,42,94,136,전략4
189,1,16,19,21,37,42,94,136,전략1
190,1,15,22,26,33,35,94,132,전략4
191,1,5,11,26,40,43,94,126,전략3
192,5,16,18,22,26,37,94,124,전략3
193,11,20,21,26,28,42,94,148,전략3
194,5,16,19,21,33,42,94,136,전략3
195,1,19,22,38,40,43,94,163,전략3
196,1,11,19,26,30,33,94,120,전략3
197,1,4,16,20,22,43,94,106,전략3
198,1,13,16,19,22,33,94,104,전략3
199,1,11,22,25,26,37,94,122,전략3
200,1,5,12,16,19,43,94,96,전략3
201,1,16,18,19,22,43,94,119,전략3
202,1,11,21,26,38,43,94,140,전략3
203,11,18,21,22,26,42,94,140,전략3
204,5,11,22,25,26,28,94,117,전략3
205,1,11,22,38,42,43,94,157,전략3
206,1,16,19,28,38,42,94,144,전략3
207,5,11,19,22,40,43,94,140,전략3
208,1,11,16,18,19,33,94,98,전략3
209,1,16,26,33,42,43,94,161,전략3
210,1,3,11,22,26,42,94,105,전략3
211,1,11,19,25,40,42,94,138,전략3
212,1,16,22,28,33,42,94,142,전략3
213,11,15,16,19,26,28,94,115,전략3
214,1,11,13,19,26,40,94,110,전략3
215,1,3,16,19,42,43,94,124,전략3
216,1,16,21,38,42,43,94,161,전략3
217,11,16,26,28,37,38,94,156,전략3
218,1,11,24,26,28,37,94,127,전략3
219,1,4,16,19,22,38,94,100,전략3
220,2,5,22,26,35,38,94,128,전략4
221,2,22,26,35,37,42,94,164,전략4
222,1,13,22,35,38,43,94,152,전략4
223,5,11,13,18,26,37,94,110,전략4
224,1,4,13,22,35,42,94,117,전략4
225,5,18,19,21,37,40,94,140,전략4
226,1,13,16,29,33,42,94,134,전략4
227,1,2,5,26,35,43,94,112,전략4
228,1,5,20,22,29,42,94,119,전략4
229,1,11,16,21,28,32,94,109,전략4
230,1,7,16,17,22,35,94,98,전략4
231,2,5,22,33,35,42,94,139,전략4
232,5,11,13,16,22,35,94,102,전략4
233,1,5,21,34,42,43,94,146,전략4
234,1,3,16,18,37,43,94,118,전략4
235,11,22,26,28,33,40,94,160,전략4
236,1,7,12,22,33,35,94,110,전략4
237,1,5,19,26,38,40,94,129,전략4
238,1,6,11,22,35,40,94,115,전략4
239,1,22,33,35,40,42,94,173,전략4
240,1,4,11,22,28,30,94,96,전략4
241,1,2,11,13,33,42,94,102,전략4
242,1,16,22,29,33,38,94,139,전략4
243,2,18,19,26,37,42,94,144,전략4
244,19,20,22,28,29,40,94,158,전략4
245,5,19,22,26,35,37,94,144,전략4
246,1,4,28,29,33,42,94,137,전략4
247,1,4,11,16,28,38,94,98,전략4
248,1,4,18,19,26,28,94,96,전략4
249,1,4,11,19,28,33,94,96,전략4
250,1,19,28,29,33,38,94,148,전략4
251,11,13,18,22,26,28,94,118,전략4
252,1,11,14,26,28,32,94,112,전략4
253,1,7,11,26,28,41,94,114,전략4
254,1,2,19,20,29,42,94,113,전략4
255,1,6,28,33,35,43,94,146,전략4
256,1,2,13,22,33,37,94,108,전략4
257,1,15,16,22,35,42,94,131,전략4
258,2,5,13,22,26,43,94,111,전략4
259,1,2,19,33,40,42,94,137,전략4
260,1,11,16,18,37,41,94,124,전략4
261,16,19,21,28,40,42,94,166,전략4
262,2,11,16,21,26,37,94,113,전략4
263,2,19,22,26,41,42,94,152,전략4
264,2,11,19,26,39,42,94,139,전략4
265,13,19,22,33,35,42,94,164,전략4
266,2,11,12,22,25,26,94,98,전략4
267,2,18,22,25,26,37,94,130,전략4
268,1,2,22,26,28,31,94,110,전략4
269,1,6,11,29,33,42,94,122,전략4
270,11,19,20,29,38,43,94,160,전략4
271,2,13,22,25,26,35,94,123,전략4
272,1,6,19,22,35,38,94,121,전략4
273,1,2,5,13,35,42,94,98,전략4
274,11,21,22,26,33,35,94,148,전략4
275,2,13,22,26,28,37,94,128,전략4
276,1,5,16,21,34,38,94,115,전략4
277,1,18,19,22,28,40,94,128,전략4
278,19,20,22,26,29,37,94,153,전략4
279,5,11,14,26,28,37,94,121,전략4
280,2,7,22,26,33,35,94,125,전략4
281,1,7,18,22,26,37,94,111,전략4
282,1,22,28,35,37,43,94,166,전략4
283,1,11,13,21,26,28,94,100,전략4
284,11,16,18,19,37,43,94,144,전략4
285,1,3,22,26,28,43,94,123,전략4
286,1,13,16,22,31,35,94,118,전략4
287,1,5,22,35,37,38,94,138,전략4
288,2,16,19,22,35,37,94,131,전략4
289,4,11,21,26,28,37,94,127,전략4
290,2,6,22,26,35,43,94,134,전략4
291,1,6,11,26,28,30,94,102,전략4
292,2,19,22,26,28,39,94,136,전략4
293,11,12,19,26,28,38,94,134,전략4
294,11,16,19,22,24,40,93,132,전략3
295,1,19,21,22,26,42,93,131,전략1
296,1,11,19,22,26,38,93,117,전략1
297,5,11,16,22,26,37,93,117,전략1
298,5,7,21,22,26,28,93,109,전략4
299,1,2,26,28,33,40,93,130,전략4
300,5,11,19,21,40,42,93,138,전략1
301,1,5,16,21,37,42,93,122,전략1
302,1,5,16,22,30,42,93,116,전략3
303,1,6,16,19,22,33,93,97,전략1
304,2,5,21,22,26,40,93,116,전략4
305,11,19,26,30,40,42,93,168,전략3
306,1,7,16,21,22,42,93,109,전략3
307,11,16,19,21,22,42,93,131,전략1
308,1,5,16,26,28,42,93,118,전략1
309,2,11,22,26,37,40,93,138,전략3
310,5,11,16,19,26,40,93,117,전략1
311,1,19,22,24,35,43,93,144,전략4
312,1,19,26,29,33,42,93,150,전략2
313,5,19,22,40,42,43,93,171,전략3
314,1,11,22,24,26,42,93,126,전략3
315,2,5,11,26,33,37,93,114,전략3
316,1,10,11,19,26,33,93,100,전략3
317,1,16,22,26,33,39,93,137,전략3
318,1,16,19,25,26,43,93,130,전략3
319,1,16,18,26,42,43,93,146,전략3
320,1,5,12,16,26,37,93,97,전략3
321,1,19,21,26,40,43,93,150,전략4
322,5,16,21,26,28,43,93,139,전략3
323,1,11,18,24,26,28,93,108,전략3
324,1,5,16,22,37,39,93,120,전략3
325,1,11,26,28,31,37,93,134,전략3
326,1,16,19,26,30,37,93,129,전략3
327,1,16,21,28,42,43,93,151,전략3
328,11,19,24,26,42,43,93,165,전략3
329,1,16,19,33,37,38,93,144,전략3
330,1,11,16,21,41,42,93,132,전략3
331,11,16,19,38,40,43,93,167,전략3
332,5,13,19,21,28,42,93,128,전략3
333,1,16,28,33,38,43,93,159,전략3
334,1,18,19,22,26,43,93,129,전략3
335,1,6,16,22,38,43,93,126,전략3
336,1,5,19,24,40,42,93,131,전략3
337,11,18,19,26,37,41,93,152,전략3
338,1,19,20,21,37,42,93,140,전략3
339,1,16,21,26,33,37,93,134,전략3
340,4,11,16,19,22,43,93,115,전략3
341,11,16,19,28,37,42,93,153,전략3
342,2,11,19,26,37,43,93,138,전략3
343,1,2,11,19,25,42,93,100,전략3
344,2,22,26,28,33,43,93,154,전략3
345,1,11,18,22,33,37,93,122,전략3
346,11,13,16,21,26,42,93,129,전략3
347,5,16,19,21,24,42,93,127,전략3
348,11,20,22,26,37,42,93,158,전략3
349,11,16,22,26,30,43,93,148,전략3
350,1,6,11,19,22,40,93,99,전략3
351,3,18,22,26,37,40,93,146,전략4
352,1,10,16,19,40,42,93,128,전략3
353,5,11,18,19,37,40,93,130,전략3
354,11,19,26,28,30,37,93,151,전략3
355,1,4,5,22,28,43,93,103,전략3
356,1,11,21,22,35,38,93,128,전략4
357,2,11,13,19,22,43,93,110,전략4
358,1,19,28,33,37,40,93,158,전략4
359,1,2,26,28,37,42,93,136,전략4
360,1,19,26,28,41,43,93,158,전략4
361,1,2,22,24,26,37,93,112,전략4
362,1,22,26,29,33,37,93,148,전략4
363,1,16,18,20,26,29,93,110,전략4
364,1,13,16,18,19,37,93,104,전략4
365,1,2,4,22,33,42,93,104,전략4
366,1,4,22,26,29,42,93,124,전략4
367,1,2,3,22,35,37,93,100,전략4
368,18,19,22,28,37,42,93,166,전략4
369,1,10,22,33,35,37,93,138,전략4
370,1,11,19,30,37,40,93,138,전략4
371,2,16,22,33,35,38,93,146,전략4
372,1,22,33,35,41,42,93,174,전략4
373,11,14,19,26,40,43,93,153,전략4
374,2,5,11,18,22,37,93,95,전략4
375,1,19,20,29,37,40,93,146,전략4
376,1,18,19,21,37,40,93,136,전략4
377,1,6,19,33,38,42,93,139,전략4
378,1,5,21,28,32,42,93,129,전략4
379,2,11,26,33,35,38,93,145,전략4
380,2,5,19,22,28,35,93,111,전략4
381,1,11,20,28,29,37,93,126,전략4
382,1,16,18,28,37,42,93,142,전략4
383,1,5,22,35,40,42,93,145,전략4
384,5,18,19,20,29,42,93,133,전략4
385,2,19,21,26,40,42,93,150,전략4
386,1,22,26,35,37,40,93,161,전략4
387,1,22,25,26,28,37,93,139,전략4
388,1,6,13,28,33,35,93,116,전략4
389,13,22,26,28,35,42,93,166,전략4
390,1,5,21,33,34,42,93,136,전략4
391,4,5,21,26,28,29,93,113,전략4
392,5,21,25,26,34,42,93,153,전략4
393,16,19,26,28,33,37,93,159,전략4
394,1,6,22,33,37,43,93,142,전략4
395,1,2,13,33,35,40,93,124,전략4
396,5,16,19,28,32,42,93,142,전략4
397,1,15,22,26,28,43,93,135,전략4
398,4,20,22,28,29,37,93,140,전략4
399,19,26,28,29,30,33,93,165,전략4
400,2,11,13,25,26,28,93,105,전략4
401,2,11,25,26,38,43,93,145,전략4
402,3,11,18,26,33,37,93,128,전략4
403,5,19,22,26,38,40,93,150,전략4
404,1,11,18,19,37,38,93,124,전략4
405,6,11,21,22,26,35,93,121,전략4
406,1,3,16,33,35,42,93,130,전략4
407,1,20,26,29,33,43,93,152,전략4
408,11,14,21,26,28,42,93,142,전략4
409,2,16,19,22,25,35,93,119,전략4
410,10,11,19,26,28,32,93,126,전략4
411,6,18,19,26,37,40,93,146,전략4
412,1,2,25,26,33,37,93,124,전략4
413,5,19,21,22,34,37,93,138,전략4
414,1,4,19,22,28,30,93,104,전략4
415,3,11,19,26,28,33,93,120,전략4
416,1,3,19,26,40,42,93,131,전략4
417,18,20,26,28,29,37,93,158,전략4
418,1,2,17,22,28,35,93,105,전략4
419,11,13,18,22,26,35,93,125,전략4
420,2,16,19,22,37,40,93,136,전략4
421,1,2,13,21,26,42,93,105,전략4
422,1,5,13,19,22,40,93,100,전략4
423,1,2,18,33,35,37,93,126,전략4
424,7,16,19,22,40,42,93,146,전략4
425,2,11,13,22,25,35,93,108,전략4
426,1,5,16,21,30,34,93,107,전략4
427,11,18,26,28,33,43,93,159,전략4
428,5,26,28,29,33,42,93,163,전략4
429,2,13,22,26,35,40,93,138,전략4
430,1,11,19,28,38,40,93,137,전략4
431,1,9,16,19,22,33,93,100,전략5
432,1,6,11,26,28,33,93,105,전략5
433,1,7,11,16,26,37,92,98,전략1
434,1,16,19,26,33,40,92,135,전략1
435,3,11,16,26,28,42,92,126,전략3
436,1,11,19,22,28,42,92,123,전략1
437,1,2,22,28,33,38,92,124,전략4
438,2,11,16,21,26,38,92,114,전략4
439,1,11,24,26,33,37,92,132,전략3
440,1,16,19,26,28,38,92,128,전략1
441,1,11,12,22,26,28,92,100,전략1
442,1,16,19,22,28,40,92,126,전략1
443,1,16,21,22,26,42,92,128,전략1
444,1,5,19,38,40,42,92,145,전략3
445,5,19,26,28,38,42,92,158,전략3
446,1,2,16,22,33,37,92,111,전략1
447,1,5,16,22,28,37,92,109,전략1
448,1,6,11,19,26,42,92,105,전략1
449,1,16,19,22,30,42,92,130,전략1
450,1,11,19,21,40,42,92,134,전략1
451,5,19,21,22,40,42,92,149,전략1
452,1,6,16,24,33,37,92,117,전략4
453,1,2,11,26,33,42,92,115,전략1
454,2,5,11,22,26,42,92,108,전략1
455,1,11,22,26,37,42,92,139,전략2
456,3,18,26,28,37,40,92,152,전략4
457,1,18,26,37,38,43,92,163,전략3
458,1,2,11,22,33,41,92,110,전략3
459,1,13,16,19,24,42,92,115,전략3
460,1,19,20,40,42,43,92,165,전략3
461,11,19,26,28,31,40,92,155,전략3
462,1,6,19,22,40,42,92,130,전략3
463,11,18,26,28,30,37,92,150,전략3
464,1,19,21,22,26,33,92,122,전략3
465,1,11,21,22,38,43,92,136,전략3
466,1,16,19,24,37,43,92,140,전략3
467,1,7,11,16,28,43,92,106,전략3
468,1,7,11,16,33,42,92,110,전략3
469,1,16,18,22,40,43,92,140,전략3
470,3,5,11,18,26,43,92,106,전략3
471,11,20,21,26,37,42,92,157,전략3
472,1,4,19,22,25,42,92,113,전략3
473,1,13,16,26,33,42,92,131,전략3
474,2,7,19,22,26,28,92,104,전략3
475,2,11,16,22,38,43,92,132,전략3
476,11,14,22,26,28,43,92,144,전략3
477,1,11,26,38,39,43,92,158,전략3
478,2,11,13,19,26,40,92,111,전략3
479,16,18,19,26,37,43,92,159,전략3
480,1,12,19,22,42,43,92,139,전략3
481,1,11,21,26,41,42,92,142,전략3
482,1,11,15,16,22,38,92,103,전략3
483,1,16,18,19,21,37,92,112,전략3
484,5,11,13,22,26,43,92,120,전략3
485,2,5,13,19,21,42,92,102,전략3
486,1,16,19,21,24,40,92,121,전략3
487,5,11,19,26,30,40,92,131,전략3
488,1,5,16,18,21,43,92,104,전략3
489,1,6,11,16,33,39,92,106,전략3
490,2,11,22,25,26,40,92,126,전략3
491,11,16,19,22,33,43,92,144,전략3
492,1,16,20,26,37,38,92,138,전략3
493,1,5,16,25,28,42,92,117,전략3
494,1,4,11,22,33,43,92,114,전략3
495,4,5,19,21,22,26,92,97,전략3
496,11,13,22,26,28,37,92,137,전략3
497,11,16,22,37,42,43,92,171,전략3
498,1,16,22,25,38,43,92,145,전략3
499,5,11,16,19,22,24,92,97,전략3
500,10,11,18,22,26,37,92,124,전략3
