순번,번호1,번호2,번호3,번호4,번호5,번호6,점수,합계,전략
1,1,20,26,28,31,43,250,149,전략1
2,1,11,20,26,28,37,247,123,전략1
3,1,5,20,28,41,43,246,138,전략1
4,5,20,22,28,31,43,242,149,전략1
5,1,19,20,28,37,43,242,148,전략1
6,1,5,20,21,26,28,241,101,전략1
7,11,20,26,28,41,43,240,169,전략1
8,5,11,21,22,26,28,239,113,전략1
9,1,11,16,20,28,43,238,119,전략1
10,1,7,20,22,28,43,238,121,전략1
11,5,16,20,26,28,43,238,138,전략1
12,1,5,16,20,31,43,238,116,전략1
13,1,5,16,20,22,41,238,105,전략1
14,1,5,20,22,28,37,238,113,전략1
15,1,11,21,26,28,43,237,130,전략1
16,11,19,26,28,37,43,236,164,전략1
17,5,11,26,28,31,43,236,144,전략1
18,1,16,19,20,26,28,236,110,전략1
19,5,7,19,22,26,28,236,107,전략1
20,1,5,26,28,37,43,235,140,전략1
21,1,19,22,26,28,37,235,133,전략1
22,11,20,26,31,37,43,234,168,전략1
23,7,11,19,21,22,26,234,106,전략1
24,1,5,16,22,28,43,234,115,전략1
25,5,20,22,26,28,41,234,142,전략1
26,5,11,20,21,28,43,233,128,전략1
27,5,20,21,22,41,43,233,152,전략1
28,5,19,21,22,28,43,233,138,전략1
29,1,5,16,19,22,37,233,100,전략1
30,7,11,20,22,26,28,232,114,전략1
31,5,11,19,22,28,37,232,122,전략1
32,1,20,22,31,37,43,232,154,전략1
33,1,16,19,20,41,43,232,140,전략1
34,5,19,20,22,37,41,232,144,전략1
35,11,19,20,28,31,43,231,152,전략1
36,1,5,11,26,28,41,231,112,전략1
37,5,20,26,31,41,43,231,166,전략1
38,1,20,26,37,41,43,231,168,전략1
39,5,16,19,20,22,28,231,110,전략1
40,1,7,19,20,22,37,231,106,전략1
41,1,19,20,22,28,31,231,121,전략1
42,5,11,16,20,41,43,230,136,전략1
43,5,11,20,21,26,41,230,124,전략1
44,1,5,22,26,28,31,230,113,전략1
45,1,11,16,20,26,41,229,115,전략1
46,5,7,11,22,26,37,229,108,전략1
47,1,11,16,19,26,37,229,110,전략1
48,7,19,20,26,28,43,229,143,전략1
49,5,19,20,26,28,37,229,135,전략1
50,5,7,11,22,28,43,228,116,전략1
51,11,19,20,21,26,37,228,134,전략1
52,1,11,20,21,26,31,228,110,전략1
53,11,19,22,26,37,41,228,156,전략1
54,1,11,16,22,26,28,228,104,전략1
55,1,11,21,22,26,37,228,118,전략1
56,5,7,20,22,31,43,228,128,전략1
57,5,19,26,28,41,43,228,162,전략1
58,1,5,20,21,22,31,228,100,전략1
59,5,16,19,21,22,26,228,109,전략1
60,1,11,22,28,37,43,227,142,전략1
61,1,11,16,20,22,37,227,107,전략1
62,1,11,20,21,22,28,227,103,전략1
63,1,7,11,20,26,37,227,102,전략1
64,1,16,20,21,22,43,227,123,전략1
65,1,5,16,20,26,37,227,105,전략1
66,1,5,19,22,28,41,227,116,전략1
67,11,20,22,31,41,43,226,168,전략1
68,1,9,11,20,28,43,226,112,전략1
69,11,21,22,26,28,43,226,151,전략1
70,11,19,20,22,31,37,226,140,전략1
71,5,11,20,22,28,31,226,117,전략1
72,5,11,21,22,26,31,226,116,전략1
73,1,11,19,26,28,31,226,116,전략1
74,16,19,20,22,31,43,226,151,전략1
75,7,19,20,22,41,43,226,152,전략1
76,5,9,20,22,28,43,226,127,전략1
77,5,16,19,22,41,43,226,146,전략1
78,1,16,19,26,28,43,226,133,전략1
79,5,16,20,22,26,41,226,130,전략1
80,1,19,20,26,31,37,226,134,전략1
81,5,11,16,21,26,43,225,122,전략1
82,5,9,11,26,28,43,225,122,전략1
83,11,20,22,26,28,41,225,148,전략1
84,11,16,19,20,26,28,225,120,전략1
85,5,11,20,21,22,37,224,116,전략1
86,7,11,20,21,22,26,224,107,전략1
87,5,7,21,22,26,43,224,124,전략1
88,1,5,16,22,31,43,224,118,전략1
89,1,9,20,22,26,28,224,106,전략1
