순번,번호1,번호2,번호3,번호4,번호5,번호6,점수,합계,전략,연속번호
1,1,6,23,33,35,36,346,134,전략2,O
2,5,20,23,24,29,35,337,136,전략2,O
3,6,19,20,23,29,36,336,133,전략2,O
4,10,22,23,24,33,35,329,147,전략2,O
5,6,11,23,24,29,33,319,126,전략2,O
6,10,23,24,26,29,36,316,148,전략2,O
7,5,6,22,29,33,36,312,131,전략2,O
8,10,19,20,22,24,29,309,124,전략2,O
9,1,20,26,29,35,36,304,147,전략2,O
10,6,10,20,23,24,43,304,126,전략2,O
11,2,22,23,29,35,36,303,147,전략1,O
12,6,11,24,26,35,36,302,138,전략2,O
13,10,11,20,29,36,43,300,149,전략2,O
14,5,10,19,29,35,36,300,134,전략2,O
15,2,5,23,24,33,36,297,123,전략1,O
16,1,2,24,33,35,43,297,138,전략1,O
17,5,6,20,35,36,43,297,145,전략2,O
18,6,20,22,23,35,42,294,148,전략1,O
19,1,2,19,29,33,36,293,120,전략1,O
20,5,6,20,23,33,40,291,127,전략1,O
21,5,6,19,24,33,35,289,122,전략2,O
22,18,19,20,23,33,35,288,148,전략1,O
23,11,20,23,24,30,36,288,144,전략1,O
24,1,10,11,24,29,35,288,110,전략2,O
25,8,20,22,23,29,33,287,135,전략1,O
26,10,11,20,24,26,33,285,124,전략2,O
27,1,20,23,24,32,33,284,133,전략1,O
28,1,6,19,20,35,40,283,121,전략1,O
29,3,19,23,24,35,36,283,140,전략1,O
30,6,18,19,26,33,36,282,138,전략1,O
31,5,10,20,23,36,37,281,131,전략1,O
32,11,19,24,28,29,36,280,147,전략1,O
33,5,17,22,24,35,36,279,139,전략1,O
34,5,6,10,18,23,35,278,97,전략1,O
35,1,6,28,29,36,43,277,143,전략1,O
36,10,11,19,23,33,36,277,132,전략3,O
37,2,19,20,29,35,43,276,148,전략1,O
38,6,22,23,24,27,36,276,138,전략1,O
39,2,19,23,24,29,42,276,139,전략4,O
40,1,11,24,33,36,37,275,142,전략1,O
41,5,18,23,28,29,36,275,139,전략4,O
42,2,13,23,24,26,35,275,123,전략4,O
43,11,20,22,33,35,36,274,157,전략2,O
44,5,19,20,29,33,42,273,148,전략1,O
45,11,26,27,29,33,36,273,162,전략1,O
46,1,20,24,29,30,43,273,147,전략1,O
47,6,10,22,23,29,40,273,130,전략1,O
48,4,5,24,29,36,43,270,141,전략1,O
49,5,10,19,23,24,40,270,121,전략5,O
50,1,6,20,33,42,43,269,145,전략1,O
51,5,10,23,29,30,33,269,130,전략1,O
52,5,13,26,33,35,36,269,148,전략1,O
53,6,18,19,22,29,35,269,129,전략1,O
54,5,10,11,24,36,41,269,127,전략1,O
55,10,11,20,23,35,40,268,139,전략1,O
56,10,11,22,29,33,42,266,147,전략1,O
57,1,2,20,23,36,43,266,125,전략5,O
58,6,10,19,22,36,37,264,130,전략1,O
59,4,22,23,24,29,38,264,140,전략4,O
60,5,6,23,26,30,36,264,126,전략5,O
61,6,22,26,27,33,35,263,149,전략1,O
62,5,6,11,29,35,40,263,126,전략1,O
63,1,10,22,35,36,40,263,144,전략1,O
64,6,10,11,33,35,43,263,138,전략2,O
65,6,11,18,23,36,37,263,131,전략4,O
66,19,22,24,32,33,36,262,166,전략1,O
67,5,19,20,24,26,36,262,130,전략3,O
68,6,23,26,28,29,35,261,147,전략1,O
69,6,10,19,29,42,43,261,149,전략1,O
70,6,18,22,23,30,33,261,132,전략4,O
71,18,20,23,26,29,30,261,146,전략4,O
72,10,13,23,35,36,43,260,160,전략1,O
73,1,10,20,23,28,29,259,111,전략1,O
74,11,15,19,20,24,35,259,124,전략1,O
75,5,6,10,20,26,29,259,96,전략2,O
76,7,22,23,26,33,36,259,147,전략5,O
77,1,10,26,32,33,36,258,138,전략1,O
78,6,7,22,24,33,43,258,135,전략1,O
79,20,23,26,27,28,36,258,160,전략4,O
80,1,15,23,24,35,40,258,138,전략4,O
81,1,22,29,32,33,35,257,152,전략1,O
82,1,24,26,28,29,33,257,141,전략1,O
83,2,3,26,29,36,43,257,139,전략4,O
84,2,22,24,28,29,43,257,148,전략4,O
85,6,19,24,26,29,30,256,134,전략1,O
86,1,3,23,29,30,36,255,122,전략4,O
87,2,20,22,23,24,31,254,122,전략4,O
88,5,6,17,19,36,40,254,123,전략4,O
89,1,10,19,20,36,42,253,128,전략1,O
90,14,23,24,26,27,33,253,147,전략4,O
91,4,5,22,29,35,42,253,137,전략4,O
92,5,23,31,35,36,40,253,170,전략4,O
93,4,19,20,33,36,43,252,155,전략1,O
94,2,6,19,20,22,33,252,102,전략1,O
95,5,10,24,32,33,43,252,147,전략1,O
96,2,23,26,29,32,33,252,145,전략4,O
97,4,19,22,29,30,36,252,140,전략4,O
98,10,18,19,23,29,37,252,136,전략4,O
99,10,11,26,28,36,37,252,148,전략4,O
100,10,11,13,23,24,42,252,123,전략4,O
101,1,5,6,24,32,36,251,104,전략1,O
102,6,10,26,27,36,43,251,148,전략1,O
103,4,20,23,29,42,43,251,161,전략4,O
104,3,18,23,24,29,43,251,140,전략4,O
105,1,2,6,26,33,40,250,108,전략4,O
106,1,2,18,20,22,35,250,98,전략4,O
107,4,5,20,22,24,33,249,108,전략1,O
108,5,8,23,32,33,35,249,136,전략4,O
109,1,14,23,24,29,41,249,132,전략4,O
110,1,5,18,35,36,37,249,132,전략4,O
111,11,14,18,23,24,35,249,125,전략4,O
112,5,10,24,26,27,35,248,127,전략1,O
113,4,11,19,20,29,40,248,123,전략4,O
114,2,19,26,28,35,36,248,146,전략4,O
115,5,20,22,28,29,40,247,144,전략4,O
116,8,19,23,29,30,35,247,144,전략4,O
117,5,6,23,29,39,42,247,144,전략4,O
