순번,번호1,번호2,번호3,번호4,번호5,번호6,점수,합계,전략
1,1,6,23,33,35,36,361,134,전략2
2,5,20,23,24,29,35,352,136,전략2
3,6,19,20,23,29,36,351,133,전략2
4,10,22,23,24,33,35,344,147,전략2
5,6,11,23,24,29,33,334,126,전략2
6,10,23,24,26,29,36,331,148,전략2
7,5,6,22,29,33,36,327,131,전략2
8,10,19,20,22,24,29,324,124,전략2
9,1,20,26,29,35,36,319,147,전략2
10,6,10,20,23,24,43,319,126,전략2
11,2,22,23,29,35,36,318,147,전략1
12,6,11,24,26,35,36,317,138,전략2
13,10,11,20,29,36,43,315,149,전략2
14,5,10,19,29,35,36,315,134,전략2
15,2,5,23,24,33,36,312,123,전략1
16,1,2,24,33,35,43,312,138,전략1
17,5,6,20,35,36,43,312,145,전략2
18,6,20,22,23,35,42,309,148,전략1
19,1,2,19,29,33,36,308,120,전략1
20,5,6,20,23,33,40,306,127,전략1
21,5,6,19,24,33,35,304,122,전략2
22,18,19,20,23,33,35,303,148,전략1
23,11,20,23,24,30,36,303,144,전략1
24,1,10,11,24,29,35,303,110,전략2
25,8,20,22,23,29,33,302,135,전략1
26,1,6,20,29,33,43,301,132,전략2
27,2,22,24,26,29,33,300,136,전략1
28,10,11,20,24,26,33,300,124,전략2
29,1,20,23,24,32,33,299,133,전략1
30,1,6,19,20,35,40,298,121,전략1
31,3,19,23,24,35,36,298,140,전략1
32,6,18,19,26,33,36,297,138,전략1
33,5,10,20,23,36,37,296,131,전략1
34,5,10,24,29,33,43,296,144,전략2
35,11,19,24,28,29,36,295,147,전략1
36,5,17,22,24,35,36,294,139,전략1
37,5,6,10,18,23,35,293,97,전략1
38,10,11,19,23,33,36,292,132,전략3
39,2,19,20,29,35,43,291,148,전략1
40,6,22,23,24,27,36,291,138,전략1
41,2,19,23,24,29,42,291,139,전략4
42,1,11,24,33,36,37,290,142,전략1
43,5,18,23,28,29,36,290,139,전략4
44,2,13,23,24,26,35,290,123,전략4
45,11,20,22,33,35,36,289,157,전략2
46,5,19,20,29,33,42,288,148,전략1
47,11,26,27,29,33,36,288,162,전략1
48,6,10,22,23,29,40,288,130,전략1
49,1,22,29,33,35,42,285,162,전략1
50,5,10,19,23,24,40,285,121,전략5
51,5,13,26,33,35,36,284,148,전략1
52,6,26,28,29,36,43,284,168,전략1
53,6,18,19,22,29,35,284,129,전략1
54,5,10,11,24,36,41,284,127,전략1
55,1,10,20,23,29,42,283,125,전략1
56,10,11,20,23,35,40,283,139,전략1
57,20,23,26,31,33,36,281,169,전략1
58,1,2,20,23,36,43,281,125,전략5
59,4,23,29,33,36,43,279,168,전략1
60,2,6,11,33,36,43,279,131,전략1
61,6,10,19,22,36,37,279,130,전략1
62,1,6,22,24,32,35,279,120,전략1
63,4,22,23,24,29,38,279,140,전략4
64,5,6,23,26,30,36,279,126,전략5
65,6,22,26,27,33,35,278,149,전략1
66,5,6,11,29,35,40,278,126,전략1
67,1,10,22,35,36,40,278,144,전략1
68,6,11,18,23,36,37,278,131,전략4
69,19,22,24,32,33,36,277,166,전략1
70,4,19,20,24,36,43,277,146,전략1
71,6,10,19,29,42,43,276,149,전략1
72,6,18,22,23,30,33,276,132,전략4
73,18,20,23,26,29,30,276,146,전략4
74,10,13,23,35,36,43,275,160,전략1
75,11,15,19,20,24,35,274,124,전략1
76,5,6,10,20,26,29,274,96,전략2
77,1,10,26,32,33,36,273,138,전략1
78,6,7,22,24,33,43,273,135,전략1
79,6,23,29,30,35,43,273,166,전략1
80,1,15,23,24,35,40,273,138,전략4
81,6,10,11,22,33,42,272,124,전략1
82,5,20,24,26,27,36,271,138,전략1
83,6,19,24,26,29,30,271,134,전략1
84,1,14,23,24,29,30,271,121,전략4
85,18,23,26,27,35,36,271,165,전략4
86,5,10,22,28,29,42,270,136,전략4
87,2,19,22,24,35,40,270,142,전략4
88,1,6,11,29,30,36,269,113,전략1
89,13,22,24,29,35,43,269,166,전략1
90,1,5,6,24,28,36,269,100,전략1
91,1,5,10,20,33,35,269,104,전략2
92,2,20,22,23,24,31,269,122,전략4
93,5,6,17,19,36,40,269,123,전략4
94,14,23,24,26,27,33,268,147,전략4
95,5,23,31,35,36,40,268,170,전략4
96,2,6,19,20,22,33,267,102,전략1
97,1,10,19,20,36,41,267,127,전략1
98,1,5,20,28,29,40,267,123,전략4
99,4,19,22,29,30,36,267,140,전략4
100,10,18,19,23,29,37,267,136,전략4
101,10,11,26,28,36,37,267,148,전략4
102,10,11,13,23,24,42,267,123,전략4
103,1,6,24,26,33,40,266,130,전략1
104,7,22,23,28,33,36,266,149,전략4
105,3,18,23,24,29,43,266,140,전략4
106,1,2,18,20,22,35,265,98,전략4
107,4,5,20,22,24,33,264,108,전략1
108,5,8,23,32,33,35,264,136,전략4
109,2,6,23,26,32,33,264,122,전략4
110,3,5,29,30,36,43,264,146,전략4
111,1,5,18,35,36,37,264,132,전략4
112,11,14,18,23,24,35,264,125,전략4
113,1,2,20,26,33,42,263,124,전략4
114,4,11,19,20,29,40,263,123,전략4
115,2,5,26,29,36,37,263,135,전략4
116,2,19,26,28,35,36,263,146,전략4
117,1,23,26,28,29,33,263,140,전략5
118,5,6,23,29,39,42,262,144,전략4
119,7,15,23,24,36,43,261,148,전략4
120,1,6,13,35,42,43,261,140,전략4
121,2,10,11,22,24,43,261,112,전략5
122,5,10,24,26,35,42,260,142,전략1
123,5,22,24,29,30,32,260,142,전략4
124,2,3,24,26,36,43,260,134,전략4
125,10,19,26,29,33,40,259,157,전략1
126,8,10,20,22,35,43,259,138,전략1
127,1,16,24,29,36,43,259,149,전략1
128,2,11,23,33,35,42,259,146,전략4
129,3,18,20,22,23,36,259,122,전략4
130,11,19,20,26,32,36,259,144,전략5
131,7,19,23,24,30,33,258,136,전략4
132,4,19,23,28,29,35,258,138,전략4
133,5,17,18,26,29,35,258,130,전략4
134,5,14,24,26,28,29,258,126,전략4
135,2,10,11,26,29,42,258,120,전략4
136,6,18,19,23,24,38,258,128,전략4
137,5,6,13,23,24,32,258,103,전략4
138,13,19,20,23,24,37,257,136,전략4
139,1,2,10,29,40,43,257,125,전략4
140,10,13,19,22,35,42,257,141,전략4
141,4,20,22,29,42,43,256,160,전략4
142,1,6,26,27,36,37,256,133,전략4
143,14,20,23,28,29,43,255,157,전략4
144,1,22,28,29,32,36,255,148,전략4
145,1,3,28,35,36,43,255,146,전략4
146,1,10,23,24,27,37,255,122,전략4
147,1,6,10,31,36,43,254,127,전략1
148,1,11,20,27,28,36,254,123,전략4
149,5,19,20,28,36,38,254,146,전략4
150,3,20,23,24,26,28,254,124,전략4
151,7,19,24,26,36,37,254,149,전략4
152,1,2,22,24,36,41,254,126,전략4
153,5,10,22,32,33,40,253,142,전략4
