순번,번호1,번호2,번호3,번호4,번호5,번호6,점수,합계,전략
1,1,6,20,23,33,35,302,118,전략2
2,19,23,29,33,35,36,286,175,전략2
3,20,22,23,24,29,35,283,153,전략2
4,5,6,20,23,29,36,280,119,전략2
5,5,10,23,24,29,33,270,124,전략2
6,6,11,23,24,33,36,269,133,전략2
7,5,6,22,29,33,35,267,130,전략2
8,1,2,22,24,33,35,263,117,전략1
9,1,20,29,33,36,43,260,162,전략2
10,2,20,23,26,29,33,257,133,전략1
11,10,19,22,24,29,36,257,140,전략2
12,11,20,24,26,29,36,255,146,전략2
13,6,26,33,35,36,43,254,179,전략2
14,6,19,20,29,35,43,254,152,전략2
15,10,20,23,24,36,43,253,156,전략2
16,1,5,10,20,29,35,252,100,전략2
17,6,10,22,23,35,36,252,132,전략2
18,5,24,29,35,36,43,249,172,전략2
19,6,19,20,22,33,36,248,136,전략2
20,2,23,24,26,35,36,245,146,전략1
21,5,6,18,23,24,35,245,111,전략1
22,1,6,19,24,29,33,245,112,전략2
23,10,20,22,26,33,35,244,146,전략2
24,1,5,6,10,33,36,244,91,전략2
25,10,19,20,23,29,42,242,143,전략1
26,1,6,11,29,35,36,242,118,전략2
27,6,23,29,30,33,43,239,164,전략1
28,1,19,20,24,35,36,239,135,전략2
29,5,6,10,20,22,24,238,87,전략2
30,5,26,28,29,33,36,237,157,전략1
31,2,10,23,29,35,43,237,142,전략1
32,11,20,24,33,35,43,237,166,전략2
33,1,23,24,29,30,36,236,143,전략1
34,6,10,11,26,29,33,236,115,전략2
35,10,19,23,24,35,40,235,151,전략1
36,1,6,10,24,26,35,233,102,전략2
37,2,11,22,29,33,36,231,133,전략1
38,2,11,19,24,29,35,231,120,전략1
39,1,14,26,29,33,35,230,138,전략1
40,11,20,23,35,36,37,229,162,전략1
41,10,11,22,24,35,42,229,144,전략1
42,10,23,26,27,33,36,228,155,전략1
43,1,2,6,20,22,29,228,80,전략1
44,2,20,22,35,36,43,228,158,전략1
45,1,6,20,26,28,36,228,117,전략1
46,2,6,19,20,23,24,228,94,전략1
47,5,19,20,24,29,40,227,137,전략1
48,6,23,26,28,29,35,226,147,전략1
49,2,5,13,23,33,35,226,111,전략4
50,2,6,11,20,26,35,225,100,전략1
51,6,19,26,29,36,40,225,156,전략1
52,10,11,23,29,36,40,225,149,전략1
53,6,10,19,23,33,37,224,128,전략1
54,10,20,26,28,29,43,224,156,전략1
55,2,6,10,22,33,43,222,116,전략1
