회차,추첨일,번호1,번호2,번호3,번호4,번호5,번호6,보너스
1858,2024/01/04,12,13,17,22,35,40,5
1859,2024/01/08,1,4,11,28,37,39,15
1860,2024/01/11,8,15,20,21,31,34,28
1861,2024/01/15,2,12,13,27,39,40,30
1862,2024/01/18,25,27,33,37,38,43,16
1863,2024/01/22,15,20,24,37,38,39,27
1864,2024/01/25,14,22,28,34,41,42,11
1865,2024/01/29,3,5,18,21,26,36,34
1866,2024/02/01,8,19,21,29,38,40,12
1867,2024/02/05,1,6,17,28,40,42,4
1868,2024/02/08,3,7,22,23,24,32,2
1869,2024/02/12,7,8,16,28,36,37,29
1870,2024/02/15,5,9,13,23,25,40,27
1871,2024/02/19,7,13,22,24,38,42,14
1872,2024/02/22,3,18,20,25,34,40,31
1873,2024/02/26,6,15,26,33,39,41,42
1874,2024/02/29,13,31,33,36,41,43,29
1875,2024/03/04,11,15,16,24,38,39,29
1876,2024/03/07,4,7,17,31,38,43,30
1877,2024/03/11,1,11,13,16,21,37,6
1878,2024/03/14,6,8,12,18,32,38,39
1879,2024/03/18,1,8,14,27,29,37,6
1880,2024/03/21,9,14,21,31,33,43,30
1881,2024/03/25,2,9,22,31,33,35,30
1882,2024/03/28,3,6,11,25,36,43,10
1883,2024/04/01,3,11,24,25,28,32,5
1884,2024/04/04,20,25,29,36,38,42,19
1885,2024/04/08,2,6,7,16,17,41,32
1886,2024/04/11,1,6,19,25,33,39,15
1887,2024/04/15,5,7,15,18,36,37,20
1888,2024/04/18,4,5,6,28,29,39,7
1889,2024/04/22,7,15,21,27,28,32,24
1890,2024/04/25,17,21,29,34,41,42,2
1891,2024/04/29,2,16,23,38,40,43,33
1892,2024/05/02,7,8,9,19,22,38,24
1893,2024/05/06,25,31,33,35,37,42,16
1894,2024/05/09,19,29,36,37,41,42,35
1895,2024/05/13,6,18,29,33,35,40,1
1896,2024/05/16,5,12,15,16,28,40,1
1897,2024/05/20,7,23,27,30,34,36,28
1898,2024/05/23,5,19,23,26,31,42,32
1899,2024/05/27,2,4,9,19,33,36,3
1900,2024/05/30,3,9,29,30,39,42,23
1901,2024/06/03,14,15,26,28,33,37,4
1902,2024/06/06,4,7,15,18,35,40,12
1903,2024/06/10,18,19,23,25,27,32,20
1904,2024/06/13,14,21,23,24,28,36,7
1905,2024/06/17,4,5,17,20,29,30,40
1906,2024/06/20,1,8,21,22,30,42,24
1907,2024/06/24,10,14,21,23,24,40,28
1908,2024/06/27,3,9,21,25,42,43,36
1909,2024/07/01,3,5,7,8,22,27,28
1910,2024/07/04,2,8,24,29,30,31,6
1911,2024/07/08,4,8,9,14,16,41,15
1912,2024/07/11,1,11,24,29,33,34,4
1913,2024/07/15,2,5,22,23,29,33,17
1914,2024/07/18,4,10,22,24,36,38,8
1915,2024/07/22,4,10,14,19,24,40,15
1916,2024/07/25,5,13,18,23,30,39,33
1917,2024/07/29,3,12,14,29,30,33,21
1918,2024/08/01,3,4,5,6,18,20,11
1919,2024/08/05,5,17,19,21,38,41,6
1920,2024/08/08,6,10,22,23,31,36,37
1921,2024/08/12,1,2,13,25,33,41,31
1922,2024/08/15,3,11,22,31,33,35,13
1923,2024/08/19,6,7,18,30,34,37,3
1924,2024/08/22,7,16,18,25,26,27,17
1925,2024/08/26,5,9,11,18,34,37,22
1926,2024/08/29,10,13,18,24,34,37,1
1927,2024/09/02,2,11,18,26,32,36,10
1928,2024/09/05,2,18,20,24,26,29,22
1929,2024/09/09,7,10,12,20,40,43,4
1930,2024/09/12,5,10,19,23,29,37,11
1931,2024/09/16,9,23,27,30,33,41,4
1932,2024/09/19,1,5,16,20,24,31,29
1933,2024/09/23,3,7,9,10,12,30,16
1934,2024/09/26,6,13,16,20,27,41,30
1935,2024/09/30,3,8,12,14,17,40,2
1936,2024/10/03,1,6,19,29,33,35,26
1937,2024/10/07,1,9,26,28,31,38,8
1938,2024/10/10,5,9,14,32,39,41,24
1939,2024/10/14,10,22,26,27,29,37,41
1940,2024/10/17,2,14,15,25,26,42,9
1941,2024/10/21,2,12,13,21,23,43,39
1942,2024/10/24,1,16,18,26,27,35,29
1943,2024/10/28,10,11,17,25,34,38,9
1944,2024/10/31,6,11,21,33,39,42,18
1945,2024/11/04,1,2,4,14,27,43,41
1946,2024/11/07,8,9,11,27,36,38,18
1947,2024/11/11,10,24,30,36,37,41,5
1948,2024/11/14,18,29,30,38,39,43,40
1949,2024/11/18,12,13,17,28,37,43,27
1950,2024/11/21,9,20,26,28,30,42,6
1951,2024/11/25,1,3,6,23,28,35,14
1952,2024/11/28,24,25,31,32,34,40,12
1953,2024/12/02,19,23,29,33,36,40,27
1954,2024/12/05,2,10,15,25,35,37,22
1955,2024/12/09,11,19,26,28,29,36,1
1956,2024/12/12,2,19,21,24,35,42,17
1957,2024/12/16,3,4,5,13,34,42,18
1958,2024/12/19,1,15,16,20,21,25,19
1959,2024/12/23,19,20,36,40,41,43,22
1960,2024/12/26,10,22,27,28,31,32,8
1961,2024/12/30,11,12,27,28,38,43,10
1962,2025/01/06,4,8,19,22,32,37,26
1963,2025/01/09,3,4,20,29,35,38,6
1964,2025/01/13,2,5,28,33,35,36,34
1965,2025/01/16,17,18,20,23,33,43,19
1966,2025/01/20,4,12,25,29,34,36,32
1967,2025/01/23,3,4,22,26,29,35,37
1968,2025/01/27,6,13,15,22,35,41,37
1969,2025/01/30,3,7,12,13,35,38,24
1970,2025/02/03,11,26,27,31,36,37,42
1971,2025/02/06,2,6,9,26,32,36,23
1972,2025/02/10,3,14,27,28,32,36,12
1973,2025/02/13,7,10,14,27,28,32,4
1974,2025/02/17,2,6,13,21,24,30,43
1975,2025/02/20,11,13,15,20,35,42,19
1976,2025/02/24,4,6,22,30,33,36,2
1977,2025/02/27,4,14,20,28,29,34,30
1978,2025/03/03,23,25,26,30,34,35,12
1979,2025/03/06,15,18,19,21,37,40,17
1980,2025/03/10,1,2,13,19,35,41,3
