회차,날짜,번호1,번호2,번호3,번호4,번호5,번호6,번호7,보너스1,보너스2
556,2024/01/05,17,20,26,28,29,33,35,3,5
556,2024/01/19,23,26,34,3,4,10,13,15,18
559,2024/01/12,7,10,17,18,35,15,20,21,22
560,2024/02/02,3,20,29,32,33,34,35,6,8
560,2024/02/16,28,30,34,1,4,6,14,16,19
563,2024/02/09,19,20,27,32,37,2,14,15,20
564,2024/03/01,9,13,15,18,22,24,30,3,6
564,2024/03/15,28,35,37,6,8,16,18,19,34
568,2024/03/08,9,11,19,30,36,3,5,18,25
569,2024/04/05,12,15,17,22,30,34,35,1,3
569,2024/04/19,30,34,37,1,2,4,19,21,26
572,2024/04/12,9,12,25,26,35,13,26,27,29
573,2024/05/03,11,12,18,19,23,26,31,4,5
573,2024/05/17,25,28,30,11,13,14,18,19,23
577,2024/05/10,13,16,22,23,35,2,12,18,20
578,2024/06/07,2,15,19,20,22,31,36,7,19
578,2024/06/21,17,27,33,3,8,10,15,18,23
581,2024/06/14,23,33,34,35,36,4,13,14,15
582,2024/07/05,5,7,22,29,30,32,36,1,5
582,2024/07/19,23,30,36,6,11,13,14,16,27
585,2024/07/12,8,9,20,30,37,10,11,12,17
586,2024/08/02,1,2,4,14,15,22,23,15,18
586,2024/08/16,15,21,31,1,6,8,9,14,29
590,2024/08/09,21,22,23,25,32,3,5,9,13
591,2024/09/06,4,7,8,11,21,23,35,3,8
591,2024/09/20,15,22,32,5,12,21,25,27,34
594,2024/09/13,11,15,19,24,32,3,8,9,14
595,2024/10/04,14,15,16,19,25,28,33,1,9
595,2024/10/18,22,27,34,1,4,7,11,12,18
598,2024/10/11,16,19,23,29,32,2,4,14,15
599,2024/11/01,4,7,16,19,26,31,33,1,2
599,2024/11/15,29,35,37,7,15,18,24,29,31
603,2024/11/08,12,16,19,29,32,4,8,18,20
604,2024/12/06,4,6,9,12,25,31,36,2,8
604,2024/12/20,22,27,36,12,14,20,27,31,34
607,2024/12/13,15,26,28,31,32,9,17,18,20
608,2025/01/10,7,10,11,18,20,29,30,4,11
608,2025/01/24,24,31,36,7,8,11,18,20,30
611,2025/01/17,12,23,26,32,37,1,8,9,23
612,2025/02/07,5,13,16,23,27,31,34,3,5
612,2025/02/21,24,28,34,4,11,21,26,27,28
615,2025/02/14,6,10,19,21,35,14,21,22,23
616,2025/03/07,7,15,20,28,29,34,36,2,6
616,2025/03/21,24,34,36,8,9,18,20,27,29
619,2025/03/14,10,12,25,28,35,7,17,20,23
620,2025/04/04,2,4,8,10,12,29,32,1,2
620,2025/04/18,30,33,34,9,12,22,26,28,31
623,2025/04/11,12,13,14,30,36,1,10,28,29
624,2025/05/02,2,14,15,26,27,34,36,3,10
624,2025/05/16,17,32,34,9,15,21,30,33,34
628,2025/05/09,12,18,19,24,32,1,3,7,12
629,2025/06/06,2,7,9,21,23,24,30,4,6
629,2025/06/20,33,35,36,5,7,10,11,29,31
632,2025/06/13,8,23,28,29,34,2,3,6,17
633,2025/07/04,2,5,10,17,21,31,36,2,12
633,2025/07/18,30,31,34,10,14,17,20,26,27
636,2025/07/11,18,29,32,36,37,10,12,20,29
637,2025/08/01,1,4,7,8,9,20,21,1,6
637,2025/08/15,30,31,34,2,7,9,12,13,14
641,2025/08/08,18,19,35,36,37,5,9,12,15
642,2025/09/05,1,7,22,23,33,34,35,1,5
642,2025/09/19,20,26,29,7,10,16,20,26,32
645,2025/09/12,15,16,18,27,34,1,11,12,14
646,2025/10/03,5,12,13,15,18,35,37,4,5
646,2025/10/17,28,29,35,12,22,23,26,33,35
650,2025/10/10,9,13,17,22,28,3,17,19,24
651,2025/11/07,2,13,19,20,24,26,35,1,16
651,2025/11/21,26,30,33,3,12,25,29,30,32
654,2025/11/14,21,26,27,30,35,6,7,12,25
655,2025/12/05,4,5,12,13,24,26,33,1,4
655,2025/12/19,27,29,32,10,12,16,18,19,22
658,2025/12/12,6,20,30,34,37,9,11,16,23
659,2026/01/09,2,8,9,14,27,34,36,4,6
659,2026/01/23,31,34,35,4,14,15,21,22,24
662,2026/01/16,12,13,16,17,31,7,12,17,22
663,2026/01/30,4,14,15,21,22,24,37,0,0
